codigo_municipio,nome_municipio,sigla_uf,nome_uf,lat,lng,nota_total,avg_nota_cn,avg_nota_ch,avg_nota_lc,avg_nota_mt,avg_nota_redacao,nu_ano
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,473.0718635477583,470.83037037037036,545.1222222222223,510.9401515151515,469.1098484848485,369.3567251461988,2014
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,506.60324441833137,468.8762162162162,538.2389189189189,513.9380434782609,491.63695652173914,520.3260869565217,2016
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,508.3651838121718,470.54487179487177,496.8879518072289,502.6012048192771,495.1653846153846,576.6265060240963,2020
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,508.4877214390911,481.8,512.7989795918368,506.08061224489796,482.98350515463915,558.7755102040817,2023
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,523.9273156514136,513.9737588652482,521.8465753424657,513.3684931506849,524.6943262411347,545.7534246575342,2017
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,475.5654439921113,469.58550724637684,556.408695652174,504.5437037037037,457.8511111111111,389.438202247191,2015
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,518.1966597653554,480.11507936507934,561.4166666666666,512.5826086956522,529.0428571428571,507.82608695652175,2018
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,505.4282818791946,464.1407142857143,498.2939597315436,509.4503355704698,525.1892857142857,530.0671140939597,2019
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,523.8959735011439,490.1467695274831,536.1760848601735,528.1213925327952,508.42613521695256,556.6094853683148,2016
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,546.1986077586207,493.47025862068966,526.8014583333334,514.33375,553.5959051724138,642.7916666666666,2022
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,490.36073257805526,486.65681399631677,560.9345303867403,507.3456090651558,483.67582625118035,413.1908831908832,2015
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,538.9312752332547,526.9618369987063,534.4956304619226,517.4104868913857,542.9294954721863,572.8589263420724,2017
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,537.9183484307915,497.8369565217391,569.9677329624478,530.184561891516,547.5134782608695,544.0890125173853,2018
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,551.6256565738892,500.9025917926566,527.2507337526206,524.5469601677149,559.0967602591793,646.3312368972746,2023
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,541.916491898629,497.08,515.8101149425287,506.38275862068963,554.4934939759036,635.816091954023,2021
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,537.603199145158,488.474537037037,513.9025260029717,523.1649331352155,540.5720679012346,621.9019316493313,2019
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,544.8123743589744,502.73155555555553,522.6040598290598,536.3709401709401,551.6715555555555,610.6837606837607,2020
3114303,Carmo do Paranaíba,MG,Minas Gerais,-18.991,-46.3167,485.97027421071635,491.0155887230514,550.8389718076285,511.56963216424293,492.26432848588536,384.16284987277356,2014
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,568.8193165484505,519.3246575342466,542.6902503293808,526.2200263504611,575.1238356164383,680.737812911726,2021
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,546.5530740841106,535.2174963396778,539.2851519337016,522.9267955801105,563.2917276720351,572.0441988950276,2017
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,542.6793652804668,503.9107675906183,555.9771321961621,539.9644030668127,536.0965498357065,577.447973713034,2016
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,555.2836809559759,505.066897147796,532.504847986853,540.1353327855383,565.6464131374244,633.0649137222679,2019
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,554.9601732108686,516.3348035284683,585.5705215419501,541.8140589569161,570.2802726543705,560.8012093726379,2018
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,509.7385518416589,501.0454638124363,575.6230886850153,524.9976079043162,511.66422256890274,435.3623762376238,2015
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,573.9666205418047,512.7574351978172,552.0394805194805,540.8442857142857,581.2828103683493,682.9090909090909,2022
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,566.4069585295183,519.7035856573705,541.3319444444444,547.0012626262626,570.0081009296149,653.989898989899,2020
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,501.74755784268365,505.7086590796635,568.4655121227115,531.8618347693867,519.1778509883426,383.5239322533137,2014
3115300,Cataguases,MG,Minas Gerais,-21.3924,-42.6896,575.1839531285552,521.0258823529412,550.3864618885096,539.5160409556314,583.0801176470588,681.9112627986348,2023
